Research_Topic_Num,Aligned_Policy_Topic_Num,Similarity_Score,Research_Topic_Label,Aligned_Policy_Topic_Label
40,1,0.48512775755517484,"Topic 40: toads, amphibian, frog, amphibians, frogs","Topic 1: agricultural, export, marketing, products, meat"
372,38,0.3297658353569287,"Topic 372: sexual, mating, sexual selection, females, male","Topic 38: procurement, public procurement, public, contracts, goods"
200,97,0.41255798260435034,"Topic 200: noise, acoustic, anthropogenic noise, traffic noise, traffic","Topic 97: small, enterprises, fund, small medium, medium enterprises"
17,59,0.6985369250439142,"Topic 17: jats sc, sc, sequencing, rad, genotyping","Topic 59: cooperative, cooperatives, operatives, societies, members"
335,5,0.4240509267690003,"Topic 335: mycorrhizal, orchid, orchids, fungi, mycorrhizal fungi","Topic 5: waste, waste management, recycling, hazardous, disposal"
122,122,0.3875717900737148,"Topic 122: lca, life cycle, cycle assessment, cycle, assessment lca","Topic 122: minnesota, public waters, chapter minnesota, minnesota statutes, drainage"
151,82,0.4168705408600755,"Topic 151: mitochondrial, freshwater, genetic, nuclear, river","Topic 82: variety, plant, varieties, breeder, breeders"
225,59,0.4879480365948949,"Topic 225: light, traits, functional traits, shade, leaf","Topic 59: cooperative, cooperatives, operatives, societies, members"
390,82,0.41231257496607066,"Topic 390: niche, diversification, niche evolution, climatic niche, latitudinal","Topic 82: variety, plant, varieties, breeder, breeders"
542,51,0.22322590830182487,"Topic 542: refugia, climate, climate refugia, climate velocity, change refugia","Topic 51: planning, town country, country planning, town, scotland"
243,37,0.34575689731652737,"Topic 243: genome, mb, n50, genes, genome assembly","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
5,97,0.4788989789553128,"Topic 5: invasive, native, invasion, alien, invasive species","Topic 97: small, enterprises, fund, small medium, medium enterprises"
106,37,0.49285961972357933,"Topic 106: genomic, atlantic, differentiation, divergence, genetic","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
574,62,0.5701453944699305,"Topic 574: jats sup, sup, sr, enamel, sup 18","Topic 62: antimicrobial, resistance, amr, antimicrobial resistance, antibiotic"
33,67,0.6749629004251729,"Topic 33: air, pollution, air pollution, air quality, pollutants","Topic 67: lands, interior, secretary interior, states, secretary"
211,22,0.6097932933565537,"Topic 211: ntfps, respondents, forest resources, forest, income","Topic 22: plastic, packaging, single use, use plastic, bags"
657,37,0.4043883238393201,,"Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
23,0,0.6101044454557868,"Topic 23: adsorption, sorption, ions, wastewater, adsorbent","Topic 0: water, water resources, supply, water supply, resources"
264,37,0.35294730629141774,"Topic 264: butterfly, butterflies, genetic, differentiation, butterfly jats","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
441,116,0.141797627142117,"Topic 441: rumen, ruminal, jb, mearnsii, protozoa","Topic 116: modifying, national parks, regulations, modifying related, related export"
149,97,0.40134539749797943,"Topic 149: outbreaks, bark, beetle, outbreak, bark beetle","Topic 97: small, enterprises, fund, small medium, medium enterprises"
31,59,0.41381388493238663,"Topic 31: transmission, disease, virus, pathogen, contact","Topic 59: cooperative, cooperatives, operatives, societies, members"
